label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,SMCO,0.016921967315720394,9.27314549008737e-40,4.727477401680882e-173,8.301117326172617e-67,1.2995762360619003e-44,-4.320899189157558e-41,9.272350216605164e-40
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,SMCO_R,0.01695850633608643,2.678347928574439e-32,0.0,3.7686967930053415e-76,1.1541899402149223e-46,-1.1977936074762144e-33,2.6783479285729236e-32
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,SMCO_BR,0.018483447794336826,3.0786516020420567e-30,3.466852953963194e-134,5.392970350814346e-71,8.28716129089149e-46,-1.3768148522735303e-31,3.0786516020419107e-30
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,GD,0.012743441460072063,2.8272700673296184e-05,7.415638657136551e-10,2.479620277500844e-06,9.173793749107535e-06,-2.0129227938681307e-06,2.8229196237728504e-05
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,SignGD,0.01045775045407936,5.843509170856139e-41,0.0,1.7664861642063016e-88,1.3428705716926027e-41,-4.066688700579279e-42,5.835179388587775e-41
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,ADAM,0.03171921666141134,0.00011736828628873552,2.3470041564027396e-06,0.000318816046825509,0.0003857091237879996,-5.619263956883969e-05,0.00010314543055477405
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,SPSA,0.017981085608014837,0.0022556089575542218,0.00028169256766411824,0.0022846260922163193,0.007465056041819669,-0.0008240555425431342,0.0021017943074488604
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,optimLBFGS,0.0012356989090330898,3.030769867121532e-06,1.3179630821813983e-08,2.4614203911879653e-06,1.5800098332768883e-05,-8.1735418466412e-07,2.9213981684771225e-06
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,BOBYQA,0.056672945370082745,7.280144616438745e-20,8.303851938997153e-26,3.387447791794634e-25,4.233592244039185e-25,-3.78279429083223e-21,7.277591427372247e-20
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,SMCO_EVO,0.01707894642627798,5.885857502675367e-40,0.0,1.2624434959921678e-76,5.754271961582343e-52,-2.767900776458986e-41,5.8852338738759676e-40
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,SMCO_R_EVO,0.016914143494912423,2.2939852562595884e-36,0.0,6.651165060651164e-78,1.1395859600897873e-50,-1.025901394553262e-37,2.293985256259241e-36
table1_Michalewicz_d2_max,Michalewicz,2,True,500,-0.0,SMCO_BR_EVO,0.018563738781027496,7.745141036301128e-34,7.246344723645003e-120,3.9525147081410034e-68,7.894030174742606e-40,-4.193326252415732e-35,7.741526482947408e-34
