function,dim,sense,known_best_objective,smco_mean,smco_std,smco_best,smco_mean_time,evo_mean,evo_std,evo_best,evo_mean_time,mean_diff_evo_minus_smco,median_diff_evo_minus_smco,evo_win_reps,smco_win_reps,tie_reps,smco_mean_gap,evo_mean_gap,gap_improvement
Eggholder,2,min,959.6407,854.3382365681267,97.50132632145063,959.2433035067977,0.06693427710561081,903.6501313953756,50.835966383533034,959.2433035067977,0.0677558649535058,49.31189482724894,0.005512994078628708,10,0,10,105.30246343187335,55.990568604624386,49.31189482724896
Qing,10,min,-0.0,-79.91476264470806,26.3683295436714,-36.06197373170954,0.40805756474728694,-71.71336861975136,22.93615605950391,-36.06197373170954,0.41340934599284085,8.20139402495668,0.0,6,0,14,79.91476264470806,71.71336861975136,8.201394024956699
Shubert,2,min,186.7309,175.65029776499097,27.613873620818463,186.73082929521263,0.22757581855112222,178.1945044300863,27.192700384901407,186.73090806106052,0.22854207464552018,2.544206665095352,0.0,5,0,15,11.080602235009035,8.536395569913683,2.544206665095352
Rosenbrock,10,min,-0.0,-0.7932948861820989,0.1958339752380563,-0.2874881190570583,0.546571383200353,-0.7030049150828769,0.19855144758509158,-0.2874881190570583,0.5532287509588059,0.09028997109922193,0.023839476856074737,10,2,8,0.7932948861820989,0.7030049150828769,0.09028997109922199
Ackley,2,min,-0.0,-0.10897243044335019,0.06581124107766417,-0.028523314557251656,0.23916917039314284,-0.0725781991880436,0.05328908794498018,-0.008325439375465482,0.23895201009872835,0.03639423125530659,0.0,9,0,11,0.10897243044335019,0.0725781991880436,0.03639423125530658
Michalewicz,10,min,,8.986431623523437,0.15892321590985964,9.254256812174976,0.7140589420538163,9.022455539230739,0.14483989199108513,9.254256812174976,0.7115876424417366,0.03602391570730239,0.0,4,0,16,,,
DropWave,2,min,1.0,0.9517772038633503,0.023350171249133522,0.9992056188201861,0.06147716359992046,0.9705354432111013,0.029662304411789412,0.9999209913449996,0.06331160709669348,0.018758239347751133,8.587858757458378e-09,10,1,9,0.04822279613664967,0.02946455678889854,0.01875823934775113
Rastrigin,2,min,-0.0,-0.012906644846016313,0.011699276032622143,-0.000736813465643138,0.1352426712081069,-0.00601624700105301,0.006781540025953614,-0.0006435462124798619,0.134263134750654,0.006890397844963303,0.0,9,0,11,0.012906644846016313,0.00601624700105301,0.006890397844963303
Mishra6,2,min,,3.948108264844889,0.026857679361226974,3.962706189852248,0.09380062739655841,3.9537931112415508,0.025851058478658928,3.9627075158563465,0.09864913534838707,0.005684846396661158,6.630020492615074e-07,10,0,10,,,
DixonPrice,10,min,-0.0,-0.6747377006648205,0.0018982779215769143,-0.6696318231662244,0.5453524262557039,-0.6733288913698496,0.0021477170080863015,-0.6683605930009983,0.5462822030473035,0.0014088092949708863,0.0002708963798424002,11,0,9,0.6747377006648205,0.6733288913698496,0.001408809294970892
Griewank,2,min,-0.0,-0.007246395469475114,0.0026371151611897874,-0.0005520701011596518,0.16267076445510611,-0.006450682536973879,0.003484453920414466,-4.845901482164461e-05,0.1674813958525192,0.0007957129325012358,0.0,8,2,10,0.007246395469475114,0.006450682536973879,0.0007957129325012356
Zakharov,10,min,-0.0,-0.0011504932626823388,0.00029899783248159414,-0.0006791724773011715,0.5958123098447686,-0.001141387854192775,0.00030890277742587764,-0.0006791724773011715,0.5945305852510501,9.105408489563845e-06,0.0,6,6,8,0.0011504932626823388,0.001141387854192775,9.10540848956371e-06
SixHumpCamel,2,min,1.0316,1.031627708470567,8.837170400756895e-07,1.0316283713751053,0.06012298883870244,1.0316281134580163,2.9327801244365196e-07,1.0316284225017267,0.060915640997700395,4.049874492317862e-07,0.0,9,0,11,-2.7708470566867315e-05,-2.81134580160991e-05,4.049874492317855e-07
NegativeSquaredNorm,2,max,0.0,-6.681378396421031e-07,3.7122488159310383e-07,-1.8592206497189942e-08,0.09139711464522407,-4.0231564235294236e-07,3.1853788044618083e-07,-1.568085113698555e-08,0.09203128840017598,2.658221972891607e-07,1.2752402713013472e-08,10,0,10,6.681378396421031e-07,4.0231564235294236e-07,2.6582219728916075e-07
McCormick,2,min,1.913222954981037,1.9132226141660145,4.4665301270511767e-07,1.913222953752257,0.05710297665791586,1.9132227419964554,3.618424140909888e-07,1.913222953752257,0.0573261300480226,1.2783044101016827e-07,2.93869455436635e-08,11,0,9,3.408150222705686e-07,2.129845812604003e-07,1.2783044101016827e-07
Easom,2,min,1.0,0.3981038871771733,0.39679728844103934,0.9975362117732627,0.04025238874310162,0.3981038871775342,0.39679728844065815,0.9975362117732627,0.04095311640412547,3.608838824276781e-13,0.0,1,0,19,0.6018961128228267,0.6018961128224658,3.609335053056384e-13
SquaredNorm,2,max,2.0,2.0,0.0,2.0,0.09390785510186106,2.0,0.0,2.0,0.09257375840388704,0.0,0.0,0,0,20,0.0,0.0,0.0
Bukin6,2,min,-0.0,-0.2081842482997392,0.09448180951842444,-0.06051067942846336,0.0557567953976104,-0.22326445386911664,0.09383599397015982,-0.0647931454234547,0.05743430084257852,-0.015080205569377489,0.0,4,7,9,0.2081842482997392,0.22326445386911664,-0.015080205569377447
