strategy,start_fraction,n_starts,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,1/2,16,SMCO_R,Rastrigin,1000,0,31326.692794996798,435.3162102319766,166,1992977623
rand1bin,1/2,16,SMCO_R,Rastrigin,1000,2,31180.077427455464,445.59761702804826,166,986617303
rand1bin,1/2,16,SMCO_R,Rastrigin,1000,1,31258.443671592744,450.78402189793997,166,802871722
rand1bin,1/2,16,SMCO_BR,Rastrigin,1000,1,31225.447220741564,458.11626654095016,91,802871722
rand1bin,1/2,16,SMCO,Rastrigin,1000,0,31300.466410645564,458.3916636458598,316,1992977623
rand1bin,1/2,16,SMCO,Rastrigin,1000,1,31223.543172865822,459.9615302728489,316,802871722
rand1bin,1/2,16,SMCO,Rastrigin,1000,2,31146.1110165825,461.06093900301494,316,986617303
rand1bin,1/2,16,SMCO_BR,Rastrigin,1000,2,31139.764818100834,462.39141611289233,91,986617303
rand1bin,1/2,16,SMCO_BR,Rastrigin,1000,3,31285.06567146066,472.04075339692645,91,172460067
rand1bin,1/2,16,SMCO_R,Rastrigin,1000,3,31312.692299430237,482.0362784820609,166,172460067
rand1bin,1/2,16,SMCO,Rastrigin,1000,3,31278.13540376135,484.1597689699847,316,172460067
rand1bin,1/2,16,SMCO_BR,Rastrigin,1000,0,31285.98008132415,501.63692920003086,91,1992977623
rand1bin,2/3,21,SMCO,Rastrigin,1000,3,29922.271216601814,573.6091679790989,321,172460067
rand1bin,2/3,21,SMCO,Rastrigin,1000,0,29829.498195038555,576.1952135609463,321,1992977623
rand1bin,2/3,21,SMCO_R,Rastrigin,1000,2,29662.55368359374,604.5015765500721,171,986617303
rand1bin,2/3,21,SMCO_R,Rastrigin,1000,1,29855.583544088353,610.5762791209854,171,802871722
rand1bin,2/3,21,SMCO_BR,Rastrigin,1000,0,29844.34621362181,616.1369290640578,96,1992977623
rand1bin,2/3,21,SMCO,Rastrigin,1000,2,29606.284326466535,626.7108731609769,321,986617303
rand1bin,2/3,21,SMCO_R,Rastrigin,1000,0,29881.55552802139,626.989077802049,171,1992977623
rand1bin,2/3,21,SMCO,Rastrigin,1000,1,29849.71726071579,632.1537807248533,321,802871722
rand1bin,2/3,21,SMCO_BR,Rastrigin,1000,2,29638.731522396047,634.776767533971,96,986617303
rand1bin,2/3,21,SMCO_BR,Rastrigin,1000,1,29863.703506204685,640.5933996499516,96,802871722
rand1bin,3/4,24,SMCO,Rastrigin,1000,1,29376.847347724222,680.1887562898919,324,802871722
