task,algo,rMSE,AE99,time_avg
Rastrigin-max,GenSA,4.1221480214172844e-10,1.9234148851410267e-09,0.0761725225741975
Rastrigin-max,SMCO_BR,2.6192185237851078,8.04093244265774,0.028616445931605995
Rastrigin-min,GenSA,5.574795321383691e-14,1.7827517240220856e-13,0.07505881803506054
Rastrigin-min,SMCO_BR,0.109040120304733,0.994976068251408,0.026828422669088466
Ackley-max,GenSA,0.001399886427466968,0.006540334515715784,0.09051197735941968
Ackley-max,SMCO_BR,0.11369764071314156,0.23995265984345995,0.04338057624734938
Ackley-min,GenSA,1.578390167003773e-08,3.9551550194971696e-08,0.1039978631164413
Ackley-min,SMCO_BR,0.0490569476367687,0.09418490175878885,0.04318732753326185
Griewank-max,GenSA,0.1792108405321228,0.4089909163222237,0.08620728715625592
Griewank-max,SMCO_BR,0.27354647714431995,0.525961735243789,0.032645310054067525
Griewank-min,GenSA,0.012075049983674946,0.04683501858790061,0.08579765995661728
Griewank-min,SMCO_BR,0.03080586914052508,0.06919957499869078,0.03259448556718417
Michalewicz-max,GenSA,1.8441057322142113e-40,4.653887115632267e-44,0.07881603652960621
Michalewicz-max,SMCO_BR,7.523809898519906e-32,2.917478042088825e-42,0.018570568461669608
Michalewicz-min,GenSA,7.294929354399235e-11,3.539589954471011e-11,0.08018596370029263
Michalewicz-min,SMCO_BR,7.028401309147499e-06,1.9232687408934355e-05,0.03362970068049617
