algo,cases,gm_rMSE,gm_AE99,gm_time
GenSA,8,1.8673037748975788e-11,1.5166052618677183e-11,0.08415556920014129
SMCO,8,6.25016111143833e-07,4.243427691179672e-07,0.030989802215395806
SMCO_R,8,6.469857159237112e-07,7.147862666018572e-09,0.030836212439952687
SMCO_BR,8,7.18449295944726e-06,8.829098896177737e-07,0.03144466348231985
SignGD,8,9.397510119126618e-05,4.131611615081513e-05,0.02515144833409351
BOBYQA,8,0.03307623094606711,0.044945570315347357,0.03954108930454543
optimLBFGS,8,2.1779143949072624,4.602327783962591,0.0018171740226403253
GD,8,2.5993099646094233,4.1120966845424,0.011206287626138154
ADAM,8,3.509083650937383,7.325424732969942,0.01803523474801915
SPSA,8,4.447946502996772,10.38429278149862,0.008224416485346421
