task_id,algo,func,dim,rep,fopt,time,iterations,pair
44,SMCO_R,Rosenbrock,500,2,227743464.4980123,132.2176327649504,173,
45,SMCO_R_EVO,Rosenbrock,500,2,227840323.85248172,136.49301215901505,323,
40,SMCO_R,Rosenbrock,500,0,236168426.29686427,138.7865972260479,173,
41,SMCO_R_EVO,Rosenbrock,500,0,235930259.7916076,144.1182441789424,323,
43,SMCO_R_EVO,Rosenbrock,500,1,228399779.85778433,145.5270774960518,323,
15,SMCO_R_EVO,Rastrigin,500,7,15188.110389623307,152.17865571693983,323,
8,SMCO_R,Rastrigin,500,4,14824.27926204443,153.2584492909955,173,
47,SMCO_R_EVO,Rosenbrock,500,3,230159726.55699176,153.82287586701568,323,
11,SMCO_R_EVO,Rastrigin,500,5,14882.551830856359,157.09850746195298,323,
42,SMCO_R,Rosenbrock,500,1,228256024.43178207,157.98976613092236,173,
46,SMCO_R,Rosenbrock,500,3,229751530.56079483,159.81824989500456,173,
14,SMCO_R,Rastrigin,500,7,15188.07596332359,160.49952708405908,173,
0,SMCO_R,Rastrigin,500,0,14733.863008968316,161.5375271430239,173,
13,SMCO_R_EVO,Rastrigin,500,6,14860.447920151577,163.821998473024,323,
19,SMCO_R_EVO,Rastrigin,500,9,14739.84795663903,165.34669400495477,323,
3,SMCO_R_EVO,Rastrigin,500,1,14669.51207250612,166.42692092701327,323,
2,SMCO_R,Rastrigin,500,1,14669.57419620856,172.789236748009,173,
5,SMCO_R_EVO,Rastrigin,500,2,14814.246470041171,185.43099365197122,323,
4,SMCO_R,Rastrigin,500,2,14814.18708532378,189.51550160802435,173,
16,SMCO_R,Rastrigin,500,8,14759.948301398355,189.98726209194865,173,
18,SMCO_R,Rastrigin,500,9,14739.864708524728,192.77050437801518,173,
6,SMCO_R,Rastrigin,500,3,14816.340960527756,196.52766105497722,173,
7,SMCO_R_EVO,Rastrigin,500,3,14816.278591857525,201.01138014206663,323,
1,SMCO_R_EVO,Rastrigin,500,0,14733.814448190864,211.5620254279347,323,
10,SMCO_R,Rastrigin,500,5,14882.634582942641,212.6884731380269,173,
12,SMCO_R,Rastrigin,500,6,14860.409536431032,213.71769095596392,173,
9,SMCO_R_EVO,Rastrigin,500,4,14824.282574555038,219.55212141096126,323,
17,SMCO_R_EVO,Rastrigin,500,8,14759.965006108796,220.68915379804093,323,
48,SMCO_R,Rosenbrock,500,4,227306382.08054152,103.21293156198226,173,
50,SMCO_R,Rosenbrock,500,5,225983236.25447124,108.50526311597787,173,
24,SMCO_R,Ackley,500,2,21.939311210967663,249.10110517090652,173,
32,SMCO_R,Ackley,500,6,21.936833702514758,270.37673237908166,173,
54,SMCO_R,Rosenbrock,500,7,225544931.36880976,121.50222813698929,173,
59,SMCO_R_EVO,Rosenbrock,500,9,228010432.34323367,115.75714082096238,323,
36,SMCO_R,Ackley,500,8,21.916899416652782,276.78434749809094,173,
37,SMCO_R_EVO,Ackley,500,8,22.1350327468978,279.581540171057,323,
20,SMCO_R,Ackley,500,0,21.964987173351005,280.0847809650004,173,
22,SMCO_R,Ackley,500,1,21.925363495733006,280.55330720497295,173,
29,SMCO_R_EVO,Ackley,500,4,22.132806734085502,281.0909253800055,323,
56,SMCO_R,Rosenbrock,500,8,225014041.89581567,124.88763547199778,173,
61,SMCO_R_EVO,Zakharov,500,0,1.0982607965967184e+23,120.32306929910555,323,
49,SMCO_R_EVO,Rosenbrock,500,4,227402793.9619156,147.92282292700838,323,
51,SMCO_R_EVO,Rosenbrock,500,5,226048554.8724721,142.67774292104878,323,
34,SMCO_R,Ackley,500,7,21.96093566566374,289.16154051199555,173,
53,SMCO_R_EVO,Rosenbrock,500,6,228018063.6078406,137.1034962539561,323,
27,SMCO_R_EVO,Ackley,500,3,22.15967633805965,290.7539724439848,323,
60,SMCO_R,Zakharov,500,0,1.0995723031970724e+23,135.93604741396848,173,
57,SMCO_R_EVO,Rosenbrock,500,8,225198261.04094297,139.48454047297128,323,
25,SMCO_R_EVO,Ackley,500,2,22.13855704915135,297.99327106098644,323,
63,SMCO_R_EVO,Zakharov,500,1,1.0893550231044274e+23,137.18387300998438,323,
52,SMCO_R,Rosenbrock,500,6,227820327.62384078,159.24511079106014,173,
30,SMCO_R,Ackley,500,5,21.925781059783617,306.68055656098295,173,
62,SMCO_R,Zakharov,500,1,1.0872226299057682e+23,141.34486392803956,173,
35,SMCO_R_EVO,Ackley,500,7,22.123280348910928,308.82089115900453,323,
28,SMCO_R,Ackley,500,4,21.96355289415044,309.9618749059737,173,
64,SMCO_R,Zakharov,500,2,1.0884171913791486e+23,140.4559815619141,173,
58,SMCO_R,Rosenbrock,500,9,228062555.32930198,154.74438143102452,173,
23,SMCO_R_EVO,Ackley,500,1,22.11222464317325,314.98573614808265,323,
66,SMCO_R,Zakharov,500,3,1.1019359800920663e+23,127.14511604607105,173,
33,SMCO_R_EVO,Ackley,500,6,22.144094145733252,318.6570332029369,323,
39,SMCO_R_EVO,Ackley,500,9,22.15049891950698,324.34851721697487,323,
55,SMCO_R_EVO,Rosenbrock,500,7,225479236.71035755,175.25579069694504,323,
67,SMCO_R_EVO,Zakharov,500,3,1.1021123578187314e+23,139.48266932100523,323,
21,SMCO_R_EVO,Ackley,500,0,22.149682297841554,329.5420558170881,323,
