task_id,algo,func,dim,rep,fopt,time,iterations,pair
8,SMCO,Rastrigin,500,1,14655.382895055654,133.08326499105897,323,SMCO_vs_SMCO_EVO
1,SMCO_R_EVO,Rastrigin,500,0,14733.814448190864,138.7699903730536,323,SMCO_R_vs_SMCO_R_EVO
3,SMCO_EVO,Rastrigin,500,0,14719.079466597614,139.25606214208528,323,SMCO_vs_SMCO_EVO
0,SMCO_R,Rastrigin,500,0,14733.863008968316,139.81597674498335,173,SMCO_R_vs_SMCO_R_EVO
29,SMCO_BR_EVO,Rastrigin,500,4,14815.170639034692,142.41066615399905,173,SMCO_BR_vs_SMCO_BR_EVO
36,SMCO_R,Rastrigin,500,6,14860.409536431032,143.6233907690039,173,SMCO_R_vs_SMCO_R_EVO
22,SMCO_BR,Rastrigin,500,3,14808.343113442439,147.23326688702218,98,SMCO_BR_vs_SMCO_BR_EVO
25,SMCO_R_EVO,Rastrigin,500,4,14824.282574555038,147.50154654996004,323,SMCO_R_vs_SMCO_R_EVO
26,SMCO,Rastrigin,500,4,14809.493611946495,148.58268967596814,323,SMCO_vs_SMCO_EVO
40,SMCO_BR,Rastrigin,500,6,14848.030671896886,149.49654815997928,98,SMCO_BR_vs_SMCO_BR_EVO
9,SMCO_EVO,Rastrigin,500,1,14654.8280519075,154.1291282690363,323,SMCO_vs_SMCO_EVO
28,SMCO_BR,Rastrigin,500,4,14815.342636625992,154.34615202399436,98,SMCO_BR_vs_SMCO_BR_EVO
13,SMCO_R_EVO,Rastrigin,500,2,14814.246470041171,155.97301944810897,323,SMCO_R_vs_SMCO_R_EVO
39,SMCO_EVO,Rastrigin,500,6,14845.052536147274,161.02415129600558,323,SMCO_vs_SMCO_EVO
44,SMCO,Rastrigin,500,7,15172.77140499281,168.4097770350054,323,SMCO_vs_SMCO_EVO
41,SMCO_BR_EVO,Rastrigin,500,6,14850.964641010358,170.35734935395885,173,SMCO_BR_vs_SMCO_BR_EVO
37,SMCO_R_EVO,Rastrigin,500,6,14860.447920151577,171.62596289196517,323,SMCO_R_vs_SMCO_R_EVO
14,SMCO,Rastrigin,500,2,14800.165437382808,174.5074130980065,323,SMCO_vs_SMCO_EVO
19,SMCO_R_EVO,Rastrigin,500,3,14816.278591857525,176.16867449402343,323,SMCO_R_vs_SMCO_R_EVO
38,SMCO,Rastrigin,500,6,14844.991606317242,179.71031048893929,323,SMCO_vs_SMCO_EVO
21,SMCO_EVO,Rastrigin,500,3,14802.008196431718,180.09840611799154,323,SMCO_vs_SMCO_EVO
32,SMCO,Rastrigin,500,5,14867.781622974537,184.48111521208193,323,SMCO_vs_SMCO_EVO
24,SMCO_R,Rastrigin,500,4,14824.27926204443,189.71631212893408,173,SMCO_R_vs_SMCO_R_EVO
4,SMCO_BR,Rastrigin,500,0,14724.745082121488,189.9281263339799,98,SMCO_BR_vs_SMCO_BR_EVO
45,SMCO_EVO,Rastrigin,500,7,15172.267869609854,199.68647242500447,323,SMCO_vs_SMCO_EVO
2,SMCO,Rastrigin,500,0,14718.688922071955,201.05638728302438,323,SMCO_vs_SMCO_EVO
